family,lower_model,higher_model,domain,metric,n_matched_prompts,mean_difference_higher_minus_lower,ci_lo,ci_hi
Qwen,qwen35_4b,qwen35_27b,security,control_centroid,183,0.02609156894532309,0.014092316349538302,0.04097806191036764
Qwen,qwen35_4b,qwen35_27b,security,coupling_excess,183,-0.0015065371717260545,-0.006728861066219995,0.003676939657088908
Qwen,qwen35_4b,qwen35_27b,overall,dialectical_amount,2296,-0.02969304306926687,-0.03404953792871672,-0.02530259111296818
Qwen,qwen35_4b,qwen35_27b,overall,control_amount,2296,0.004772594707909692,0.0015654970332787423,0.008524925990583581
Qwen,qwen35_4b,qwen35_27b,overall,dialectical_centroid,2285,0.007422637544744781,0.004593320049117105,0.010382815271920847
Qwen,qwen35_4b,qwen35_27b,overall,control_centroid,2289,0.01637536576154455,0.01314628104934232,0.01974070582610821
Qwen,qwen35_4b,qwen35_27b,overall,coupling_excess,2296,-0.00010141093012114405,-0.0017413768013685544,0.0012546462447116066
Gemma,gemma4_e4b,gemma4_31b,math,dialectical_amount,484,0.0018983909644611327,-0.014788220341242983,0.018451665330284986
Gemma,gemma4_e4b,gemma4_31b,math,control_amount,484,-0.13585650146084868,-0.15357011322367417,-0.11603468838852231
Gemma,gemma4_e4b,gemma4_31b,math,dialectical_centroid,406,0.06450259314747783,0.04721016746977585,0.08339274304866107
Gemma,gemma4_e4b,gemma4_31b,math,control_centroid,465,0.12605142068129016,0.11028550285829142,0.14078959228661564
Gemma,gemma4_e4b,gemma4_31b,math,coupling_excess,484,-0.00977172574822652,-0.0176468855129849,-0.0022617741379054243
Gemma,gemma4_e4b,gemma4_31b,code,dialectical_amount,175,0.0841819420075871,0.07113857559279016,0.09475422846412591
Gemma,gemma4_e4b,gemma4_31b,code,control_amount,175,0.07343958946079635,0.0585650897732201,0.08858187586513737
Gemma,gemma4_e4b,gemma4_31b,code,dialectical_centroid,171,0.03731183732256059,0.019821562248696873,0.05200978257432705
Gemma,gemma4_e4b,gemma4_31b,code,control_centroid,175,0.011426127503892394,-0.003094257796013036,0.027690116864741553
