split,prefix,feature_set,feature,coef
random_trace,0.75,metadata,difficulty_raw=progression_mcq,0.1150043237522543
random_trace,0.75,metadata,difficulty_raw=Biology,0.092186486097245
random_trace,0.75,metadata,difficulty_raw=medium,-0.08959315060601154
random_trace,0.75,metadata,difficulty_raw=applicable_actions_mc,0.08399048301579116
random_trace,0.75,metadata,difficulty_raw=4,0.08251481639937804
random_trace,0.75,metadata,difficulty_raw=landmarks_mcq,0.07319490757039468
random_trace,0.75,metadata,difficulty_raw=3,0.06445517516606743
random_trace,0.75,metadata,difficulty_raw=reachable_atom_mc,0.057105079521989593
random_trace,0.75,length,task_type=math,-0.5373092915063241
random_trace,0.75,length,gen_model=qwen35_27b,0.45643732317444013
random_trace,0.75,length,gen_model=qwen35_9b,0.39038759773305337
random_trace,0.75,length,gen_model=qwen35_4b,0.35466003842371546
random_trace,0.75,length,task_type=idea,0.30158639817580457
random_trace,0.75,length,gen_model=reasoner,0.2922841433113186
random_trace,0.75,length,difficulty_raw=hard,-0.27178904722947245
random_trace,0.75,length,difficulty_raw=__missing__,0.2672207082019101
random_trace,0.75,length,task_type=gpqa,0.22294478354084357
random_trace,0.75,length,difficulty_raw=Physics,0.20315957523982775
random_trace,0.75,length,task_type=planning,0.1689180673350067
random_trace,0.75,length,difficulty_raw=easy,0.1609320957100259
random_trace,0.75,length,prefix_segments,-0.153478210800186
random_trace,0.75,length,difficulty_raw=progression_mcq,0.10941807320209462
random_trace,0.75,length,difficulty_raw=4,0.09355814072376308
random_trace,0.75,length,difficulty_raw=medium,-0.08690569712941391
random_trace,0.75,length,difficulty_raw=Biology,0.08596334783336695
random_trace,0.75,length,difficulty_raw=applicable_actions_mc,0.08375977424596417
random_trace,0.75,length,difficulty_raw=landmarks_mcq,0.08222974999788779
random_trace,0.75,length,difficulty_raw=3,0.07124033664825927
